Title,Description,Link,Star,Last Update
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,205k,"Nov 20, 2022"
tensorflow,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow,170k,"Dec 6, 2022"
CS-Notes,📚 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,https://github.com/CyC2018/CS-Notes,159k,"Nov 16, 2022"
Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,150k,"Dec 5, 2022"
awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources",https://github.com/vinta/awesome-python,149k,"Dec 5, 2022"
free-programming-books-zh_CN,📚 免费的计算机编程类中文书籍，欢迎投稿,https://github.com/justjavac/free-programming-books-zh_CN,97.6k,"Dec 5, 2022"
project-based-learning,Curated list of project-based tutorials,https://github.com/practical-tutorials/project-based-learning,83.1k,"Nov 20, 2022"
transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",https://github.com/huggingface/transformers,75.5k,"Dec 6, 2022"
thefuck,Magnificent app which corrects your previous console command.,https://github.com/nvbn/thefuck,74.7k,"Nov 21, 2022"
django,The Web framework for perfectionists with deadlines.,https://github.com/django/django,67.6k,"Dec 6, 2022"
HelloGitHub,"分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",https://github.com/521xueweihan/HelloGitHub,62.1k,"Dec 5, 2022"
flask,The Python micro framework for building web applications.,https://github.com/pallets/flask,61.3k,"Dec 6, 2022"
pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,https://github.com/pytorch/pytorch,60.8k,"Dec 6, 2022"
keras,Deep Learning for humans,https://github.com/keras-team/keras,56.8k,"Dec 6, 2022"
core,🏡 Open source home automation that puts local control and privacy first.,https://github.com/home-assistant/core,56.5k,"Dec 6, 2022"
ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",https://github.com/ansible/ansible,55.7k,"Dec 6, 2022"
scikit-learn,scikit-learn: machine learning in Python,https://github.com/scikit-learn/scikit-learn,52.2k,"Dec 6, 2022"
fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",https://github.com/tiangolo/fastapi,52.2k,"Dec 6, 2022"
leetcode,推荐刷题网站：https://www.lintcode.com/?utm_source=tf-github-lucifer2022  LeetCode Solutions: A Record of My Problem Solving Journey.( leetcode题解，记录自己的leetcode解题之路。),https://github.com/azl397985856/leetcode,50k,"Nov 14, 2022"
superset,Apache Superset is a Data Visualization and Data Exploration Platform,https://github.com/apache/superset,49.5k,"Dec 6, 2022"
